code,tambon_th,tambon_en,amphoe_en,amphoe_th,province_en,province_th,lat,lng
"100101","พระบรมมหาราชวัง","Praborommaharatchawang","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.751690","100.491882"
"100102","วังบูรพาภิรมย์","Wang Burapaphirom","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.744580","100.498978"
"100103","วัดราชบพิธ","Wat Ratchaborphit","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.750480","100.499039"
"100104","สำราญราษฎร์","Samran Rat","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.751750","100.503281"
"100105","ศาลเจ้าพ่อเสือ","San Chao Pho Sua","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.754360","100.496819"
"100106","เสาชิงช้า","Sao Ching Cha","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.753920","100.499969"
"100107","บวรนิเวศ","Bowon Niwet","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.757730","100.501137"
"100108","ตลาดยอด","Talat Yot","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.759760","100.497269"
"100109","ชนะสงคราม","Chana Songkhram","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.762000","100.494560"
"100110","บ้านพานถม","Ban Phan Thom","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.761980","100.502831"
"100111","บางขุนพรหม","Bang Khun Phrom","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.764760","100.505379"
"100112","วัดสามพระยา","Wat Sampraya","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.767800","100.498947"
"100201","ดุสิต","Dusit","Dusit","เขตดุสิต","Bangkok","กรุงเทพมหานคร","13.772670","100.512527"
"100202","วชิรพยาบาล","Wachira Payaban","Dusit","เขตดุสิต","Bangkok","กรุงเทพมหานคร","13.777900","100.504593"
"100203","สวนจิตรลดา","Suan Chitlada","Dusit","เขตดุสิต","Bangkok","กรุงเทพมหานคร","13.768140","100.521523"
"100204","สี่แยกมหานาค","Sa Waek Mahanak","Dusit","เขตดุสิต","Bangkok","กรุงเทพมหานคร","13.758320","100.517570"
"100206","ถนนนครไชยศรี","Tanon Nakorn Chai","Dusit","เขตดุสิต","Bangkok","กรุงเทพมหานคร","13.788660","100.522827"
"100301","กระทุ่มราย","Krathum Rai","Nong Chok","เขตหนองจอก","Bangkok","กรุงเทพมหานคร","13.825900","100.892548"
"100302","หนองจอก","Nong Chok","Nong Chok","เขตหนองจอก","Bangkok","กรุงเทพมหานคร","13.872520","100.873894"
"100303","คลองสิบ","Khlong Sip","Nong Chok","เขตหนองจอก","Bangkok","กรุงเทพมหานคร","13.913710","100.824532"
"100304","คลองสิบสอง","Klong Sibsong","Nong Chok","เขตหนองจอก","Bangkok","กรุงเทพมหานคร","13.918290","100.880836"
"100305","โคกแฝด","Khok Fast","Nong Chok","เขตหนองจอก","Bangkok","กรุงเทพมหานคร","13.835520","100.829208"
"100306","คู้ฝั่งเหนือ","Khu Fang Nua","Nong Chok","เขตหนองจอก","Bangkok","กรุงเทพมหานคร","13.874220","100.812843"
"100307","ลำผักชี","Lam Phak Chi","Nong Chok","เขตหนองจอก","Bangkok","กรุงเทพมหานคร","13.798530","100.837059"
"100308","ลำต้อยติ่ง","Lam Toi Ting","Nong Chok","เขตหนองจอก","Bangkok","กรุงเทพมหานคร","13.776750","100.879333"
"100401","มหาพฤฒาราม","Maha Phrutharam","Bang Rak","เขตบางรัก","Bangkok","กรุงเทพมหานคร","13.733680","100.520157"
"100402","สีลม","Silom","Bang Rak","เขตบางรัก","Bangkok","กรุงเทพมหานคร","13.724170","100.529228"
"100403","สุริยวงศ์","Surawong","Bang Rak","เขตบางรัก","Bangkok","กรุงเทพมหานคร","13.726700","100.525291"
"100404","บางรัก","Bang Rak","Bang Rak","เขตบางรัก","Bangkok","กรุงเทพมหานคร","13.724550","100.514671"
"100405","สี่พระยา","Si Phraya","Bang Rak","เขตบางรัก","Bangkok","กรุงเทพมหานคร","13.729520","100.523132"
"100502","อนุสาวรีย์","Anusaowari","Bang Khen","เขตบางเขน","Bangkok","กรุงเทพมหานคร","13.868120","100.605827"
"100508","ท่าแร้ง","Tha Raeng","Bang Khen","เขตบางเขน","Bangkok","กรุงเทพมหานคร","13.866100","100.650452"
"100601","คลองจั่น","Khlong Chan","Bang Kapi","เขตบางกะปิ","Bangkok","กรุงเทพมหานคร","13.788680","100.635384"
"100608","หัวหมาก","Hua Mak","Bang Kapi","เขตบางกะปิ","Bangkok","กรุงเทพมหานคร","13.755700","100.644127"
"100701","รองเมือง","Rong Muang","Pathum Wan","เขตปทุมวัน","Bangkok","กรุงเทพมหานคร","13.744580","100.519836"
"100702","วังใหม่","Wang Mai","Pathum Wan","เขตปทุมวัน","Bangkok","กรุงเทพมหานคร","13.742000","100.526466"
"100703","ปทุมวัน","Pathum Wan","Pathum Wan","เขตปทุมวัน","Bangkok","กรุงเทพมหานคร","13.740610","100.534782"
"100704","ลุมพินี","Lumphini","Pathum Wan","เขตปทุมวัน","Bangkok","กรุงเทพมหานคร","13.736450","100.545769"
"100801","ป้อมปราบ","Pomprab","Pom Prap Sattru Phai","เขตป้อมปราบศัตรูพ่าย","Bangkok","กรุงเทพมหานคร","13.743830","100.511719"
"100802","วัดเทพศิรินทร์","Wat Dep Sirin","Pom Prap Sattru Phai","เขตป้อมปราบศัตรูพ่าย","Bangkok","กรุงเทพมหานคร","13.748810","100.512321"
"100803","คลองมหานาค","Khlong Maha Nak","Pom Prap Sattru Phai","เขตป้อมปราบศัตรูพ่าย","Bangkok","กรุงเทพมหานคร","13.753650","100.513878"
"100804","บ้านบาตร","Ban Bat","Pom Prap Sattru Phai","เขตป้อมปราบศัตรูพ่าย","Bangkok","กรุงเทพมหานคร","13.751840","100.506493"
"100805","วัดโสมนัส","Wat Somanat","Pom Prap Sattru Phai","เขตป้อมปราบศัตรูพ่าย","Bangkok","กรุงเทพมหานคร","13.759080","100.510941"
"100905","บางจาก","Bang Chak","Prakanong","เขตพระโขนง","Bangkok","กรุงเทพมหานคร","13.694330","100.614098"
"101001","มีนบุรี","Minburi","Minburi","เขตมีนบุรี","Bangkok","กรุงเทพมหานคร","13.806030","100.726181"
"101002","แสนแสบ","San Sab","Minburi","เขตมีนบุรี","Bangkok","กรุงเทพมหานคร","13.812510","100.775230"
"101101","ลาดกระบัง","Lat Krabang","Lat Krabang","เขตลาดกระบัง","Bangkok","กรุงเทพมหานคร","13.723520","100.750633"
"101102","คลองสองต้นนุ่น","Klong Song Ton Nun","Lat Krabang","เขตลาดกระบัง","Bangkok","กรุงเทพมหานคร","13.752540","100.724762"
"101103","คลองสามประเวศ","Klong Sam Prawet","Lat Krabang","เขตลาดกระบัง","Bangkok","กรุงเทพมหานคร","13.753520","100.754707"
"101104","ลำปลาทิว","Lam Pla Tiew","Lat Krabang","เขตลาดกระบัง","Bangkok","กรุงเทพมหานคร","13.762900","100.795990"
"101105","ทับยาว","Thab Yao","Lat Krabang","เขตลาดกระบัง","Bangkok","กรุงเทพมหานคร","13.731690","100.817657"
"101106","ขุมทอง","Khum Thong","Lat Krabang","เขตลาดกระบัง","Bangkok","กรุงเทพมหานคร","13.733810","100.852837"
"101203","ช่องนนทรี","Chong Nonsi","Yannawa","เขตยานนาวา","Bangkok","กรุงเทพมหานคร","13.697860","100.545242"
"101204","บางโพงพาง","Bang Pong Pang","Yannawa","เขตยานนาวา","Bangkok","กรุงเทพมหานคร","13.682100","100.534042"
"101301","จักรวรรดิ","Chakkrawat","Samphanthawong","เขตสัมพันธวงศ์","Bangkok","กรุงเทพมหานคร","13.740830","100.504494"
"101302","สัมพันธวงศ์","Samphanthawong","Samphanthawong","เขตสัมพันธวงศ์","Bangkok","กรุงเทพมหานคร","13.740310","100.509018"
"101303","ตลาดน้อย","Talat Noi","Samphanthawong","เขตสัมพันธวงศ์","Bangkok","กรุงเทพมหานคร","13.734740","100.513718"
"101401","สามเสนใน","Samsen Ni","Phaya Thai","เขตพญาไท","Bangkok","กรุงเทพมหานคร","13.781730","100.545357"
"101501","วัดกัลยาณ์","Wat Kallaya","Thon Buri","เขตธนบุรี","Bangkok","กรุงเทพมหานคร","13.737640","100.492798"
"101502","หิรัญรูจี","Wat Ki Rumruche","Thon Buri","เขตธนบุรี","Bangkok","กรุงเทพมหานคร","13.730950","100.489761"
"101503","บางยี่เรือ","Bang Yi Rua","Thon Buri","เขตธนบุรี","Bangkok","กรุงเทพมหานคร","13.722320","100.485802"
"101504","บุคคโล","Bukkalo","Thon Buri","เขตธนบุรี","Bangkok","กรุงเทพมหานคร","13.708000","100.486458"
"101505","ตลาดพลู","Talat Plu","Thon Buri","เขตธนบุรี","Bangkok","กรุงเทพมหานคร","13.716940","100.473900"
"101601","วัดอรุณ","Wat Arun","Bangkok Yai","เขตบางกอกใหญ่","Bangkok","กรุงเทพมหานคร","13.743370","100.486359"
"101602","วัดท่าพระ","Wat Tha Pra","Bangkok Yai","เขตบางกอกใหญ่","Bangkok","กรุงเทพมหานคร","13.734320","100.474419"
"101701","ห้วยขวาง","Huai Khwang","Huai Khwang","เขตห้วยขวาง","Bangkok","กรุงเทพมหานคร","13.769100","100.577011"
"101702","บางกะปิ","Bang Kapi","Huai Khwang","เขตห้วยขวาง","Bangkok","กรุงเทพมหานคร","13.752160","100.585838"
"101704","สามเสนนอก","Samsen Nok","Huai Khwang","เขตห้วยขวาง","Bangkok","กรุงเทพมหานคร","13.784730","100.585747"
"101801","สมเด็จเจ้าพระยา","Somdet Chao Phraya","Khlong San","เขตคลองสาน","Bangkok","กรุงเทพมหานคร","13.733270","100.498444"
"101802","คลองสาน","Khlong San","Khlong San","เขตคลองสาน","Bangkok","กรุงเทพมหานคร","13.731700","100.505180"
"101803","บางลำภูล่าง","Bang Lam Phu Lang","Khlong San","เขตคลองสาน","Bangkok","กรุงเทพมหานคร","13.714880","100.500877"
"101804","คลองต้นไทร","Klong Ton Sai","Khlong San","เขตคลองสาน","Bangkok","กรุงเทพมหานคร","13.723890","100.504791"
"101901","คลองชักพระ","Klong Chak Pra","Bangkok Noi","เขตบางกอกน้อย","Bangkok","กรุงเทพมหานคร","13.766860","100.457909"
"101902","ตลิ่งชัน","Taling Chan","Taling Chan","เขตตลิ่งชัน","Bangkok","กรุงเทพมหานคร","13.790240","100.451286"
"101903","ฉิมพลี","Chim Plee","Taling Chan","เขตตลิ่งชัน","Bangkok","กรุงเทพมหานคร","13.785700","100.428299"
"101904","บางพรม","Bang Prom","Taling Chan","เขตตลิ่งชัน","Bangkok","กรุงเทพมหานคร","13.752560","100.441856"
"101905","บางระมาด","Bang Ra Mat","Taling Chan","เขตตลิ่งชัน","Bangkok","กรุงเทพมหานคร","13.767120","100.428520"
"101907","บางเชือกหนัง","Bang Chuek Nang","Taling Chan","เขตตลิ่งชัน","Bangkok","กรุงเทพมหานคร","13.748300","100.426567"
"102004","ศิริราช","Siri Rat","Bangkok Noi","เขตบางกอกน้อย","Bangkok","กรุงเทพมหานคร","13.757280","100.482452"
"102005","บ้านช่างหล่อ","Ban Chang Lo","Bangkok Noi","เขตบางกอกน้อย","Bangkok","กรุงเทพมหานคร","13.752440","100.475380"
"102006","บางขุนนนท์","Bang Khun Non","Bangkok Noi","เขตบางกอกน้อย","Bangkok","กรุงเทพมหานคร","13.772390","100.466179"
"102007","บางขุนศรี","Bang Khun Sri","Bangkok Noi","เขตบางกอกน้อย","Bangkok","กรุงเทพมหานคร","13.760080","100.462799"
"102009","อรุณอมรินทร์","Arun Amarin","Bangkok Noi","เขตบางกอกน้อย","Bangkok","กรุงเทพมหานคร","13.771850","100.477097"
"102105","ท่าข้าม","Tha Kham","Bangkhuntien","เขตบางขุนเทียน","Bangkok","กรุงเทพมหานคร","13.572340","100.436348"
"102107","แสมดำ","Samae Dam","Bangkhuntien","เขตบางขุนเทียน","Bangkok","กรุงเทพมหานคร","13.622390","100.412086"
"102201","บางหว้า","Bang Wa","Chom Thong","เขตจอมทอง","Bangkok","กรุงเทพมหานคร","13.708980","100.440392"
"102202","บางด้วน","Bang Duan","Phasi Charoen","เขตภาษีเจริญ","Bangkok","กรุงเทพมหานคร","13.723600","100.435600"
"102206","บางจาก","Bang Chak","Phasi Charoen","เขตภาษีเจริญ","Bangkok","กรุงเทพมหานคร","13.729160","100.453110"
"102207","บางแวก","Bang Wak","Phasi Charoen","เขตภาษีเจริญ","Bangkok","กรุงเทพมหานคร","13.736660","100.444412"
"102208","คลองขวาง","Khlong Khwang","Phasi Charoen","เขตภาษีเจริญ","Bangkok","กรุงเทพมหานคร","13.738520","100.423279"
"102209","ปากคลองภาษีเจริญ","Pak Klong Pasricharoen","Phasi Charoen","เขตภาษีเจริญ","Bangkok","กรุงเทพมหานคร","13.722210","100.463074"
"102210","คูหาสวรรค์","Khuha Sawan","Phasi Charoen","เขตภาษีเจริญ","Bangkok","กรุงเทพมหานคร","13.734120","100.459877"
"102302","หนองแขม","Nongkheam","Nongkheam","เขตหนองแขม","Bangkok","กรุงเทพมหานคร","13.680730","100.358047"
"102303","หนองค้างพลู","Nong Kang Plu","Nongkheam","เขตหนองแขม","Bangkok","กรุงเทพมหานคร","13.715120","100.350487"
"102401","ราษฎร์บูรณะ","Ratburana","Ratburana","เขตราษฎร์บูรณะ","Bangkok","กรุงเทพมหานคร","13.671730","100.511177"
"102402","บางปะกอก","Bangpakok","Ratburana","เขตราษฎร์บูรณะ","Bangkok","กรุงเทพมหานคร","13.675080","100.492523"
"102501","บางพลัด","Bang Plad","Bang Plad","เขตบางพลัด","Bangkok","กรุงเทพมหานคร","13.789160","100.492081"
"102502","บางอ้อ","Bang O","Bang Plad","เขตบางพลัด","Bangkok","กรุงเทพมหานคร","13.799390","100.508759"
"102503","บางบำหรุ","Bang Tamru","Bang Plad","เขตบางพลัด","Bangkok","กรุงเทพมหานคร","13.782660","100.480530"
"102504","บางยี่ขัน","Bang Yi Khan","Bang Plad","เขตบางพลัด","Bangkok","กรุงเทพมหานคร","13.773870","100.492142"
"102601","ดินแดง","Din Daeng","Din Daeng","เขตดินแดง","Bangkok","กรุงเทพมหานคร","13.775250","100.563538"
"102701","คลองกุ่ม","Klong Kum","Bung Kum","เขตบึงกุ่ม","Bangkok","กรุงเทพมหานคร","13.809340","100.651627"
"102801","ทุ่งวัดดอน","Thung Wat Don","Sathorn","เขตสาทร","Bangkok","กรุงเทพมหานคร","13.709180","100.527237"
"102802","ยานนาวา","Yannawa","Sathorn","เขตสาทร","Bangkok","กรุงเทพมหานคร","13.716440","100.521248"
"102803","ทุ่งมหาเมฆ","Thung Maha Mek","Sathorn","เขตสาทร","Bangkok","กรุงเทพมหานคร","13.718130","100.542107"
"102901","บางซื่อ","Bangsue","Bangsue","เขตบางซื่อ","Bangkok","กรุงเทพมหานคร","13.819760","100.528831"
"103001","ลาดยาว","Lat Yao","Chatuchak","เขตจตุจักร","Bangkok","กรุงเทพมหานคร","13.826420","100.565491"
"103101","บางคอแหลม","Bang Kho Laem","Bang Kho Laem","เขตบางคอแหลม","Bangkok","กรุงเทพมหานคร","13.696840","100.497711"
"103102","วัดพระยาไกร","Wat Prayakrai","Bang Kho Laem","เขตบางคอแหลม","Bangkok","กรุงเทพมหานคร","13.706100","100.508560"
"103103","บางโคล่","Bang Klo","Bang Kho Laem","เขตบางคอแหลม","Bangkok","กรุงเทพมหานคร","13.694860","100.516129"
"103201","ประเวศ","Prawet","Prawet","เขตประเวศ","Bangkok","กรุงเทพมหานคร","13.717810","100.679749"
"103202","หนองบอน","Nong Bon","Prawet","เขตประเวศ","Bangkok","กรุงเทพมหานคร","13.687530","100.656281"
"103203","ดอกไม้","Dok Mai","Prawet","เขตประเวศ","Bangkok","กรุงเทพมหานคร","13.681560","100.688957"
"103301","คลองเตย","Khlong Toei","Khlong Toei","เขตคลองเตย","Bangkok","กรุงเทพมหานคร","13.718510","100.565102"
"103302","คลองตัน","Khlong Ton","Khlong Toei","เขตคลองเตย","Bangkok","กรุงเทพมหานคร","13.723540","100.571350"
"103303","พระโขนง","Phra Kanong","Khlong Toei","เขตคลองเตย","Bangkok","กรุงเทพมหานคร","13.710020","100.588127"
"103401","สวนหลวง","Suan Luang","Suan Luang","เขตสวนหลวง","Bangkok","กรุงเทพมหานคร","13.727200","100.628532"
"103501","บางขุนเทียน","Bangkhuntien","Chom Thong","เขตจอมทอง","Bangkok","กรุงเทพมหานคร","13.697470","100.449310"
"103502","บางค้อ","Bangko","Chom Thong","เขตจอมทอง","Bangkok","กรุงเทพมหานคร","13.706640","100.469498"
"103503","บางมด","Bangmot","Chom Thong","เขตจอมทอง","Bangkok","กรุงเทพมหานคร","13.670890","100.468422"
"103504","จอมทอง","Chom Thong","Chom Thong","เขตจอมทอง","Bangkok","กรุงเทพมหานคร","13.688780","100.467644"
"103602","สีกัน","Si Khan","Don Muang","เขตดอนเมือง","Bangkok","กรุงเทพมหานคร","13.924910","100.593773"
"103701","ทุ่งพญาไท","Thung Phaya Thai","Rat Thewi","เขตราชเทวี","Bangkok","กรุงเทพมหานคร","13.763230","100.530342"
"103702","ถนนพญาไท","Thanon Phaya Thai","Rat Thewi","เขตราชเทวี","Bangkok","กรุงเทพมหานคร","13.757650","100.538963"
"103703","ถนนเพชรบุรี","Thanon Phetchaburi","Rat Thewi","เขตราชเทวี","Bangkok","กรุงเทพมหานคร","13.752600","100.528618"
"103704","มักกะสัน","Makkasan","Rat Thewi","เขตราชเทวี","Bangkok","กรุงเทพมหานคร","13.753830","100.551987"
"103801","ลาดพร้าว","Lat Phrao","Lat Phrao","เขตลาดพร้าว","Bangkok","กรุงเทพมหานคร","13.819390","100.609123"
"103802","จรเข้บัว","Chorake Bua","Lat Phrao","เขตลาดพร้าว","Bangkok","กรุงเทพมหานคร","13.840180","100.608040"
"103901","คลองเตยเหนือ","Khlongtoei Nua","Wattana","เขตวัฒนา","Bangkok","กรุงเทพมหานคร","13.743580","100.561249"
"103902","คลองตันเหนือ","Khlong Tan Nua","Wattana","เขตวัฒนา","Bangkok","กรุงเทพมหานคร","13.735110","100.585426"
"103903","พระโขนงเหนือ","Phra Kanong Nua","Wattana","เขตวัฒนา","Bangkok","กรุงเทพมหานคร","13.719680","100.596649"
"104001","บางแค","Bang Khae","Bang Khae","เขตบางแค","Bangkok","กรุงเทพมหานคร","13.698110","100.409439"
"104002","บางแคเหนือ","Bang Kae Nua","Bang Khae","เขตบางแค","Bangkok","กรุงเทพมหานคร","13.720220","100.400284"
"104003","บางไผ่","Bang Phai","Bang Khae","เขตบางแค","Bangkok","กรุงเทพมหานคร","13.741130","100.384102"
"104004","หลักสอง","Lak Song","Bang Khae","เขตบางแค","Bangkok","กรุงเทพมหานคร","13.692230","100.388489"
"104101","ทุ่งสองห้อง","Thung Song Hong","Lak Si","เขตหลักสี่","Bangkok","กรุงเทพมหานคร","13.882710","100.564110"
"104102","ตลาดบางเขน","Talat Bang Khen","Lak Si","เขตหลักสี่","Bangkok","กรุงเทพมหานคร","13.871640","100.580254"
"104201","สายไหม","Saimai","Saimai","เขตสายไหม","Bangkok","กรุงเทพมหานคร","13.920740","100.654549"
"104202","ออเงิน","O-Ngoen","Saimai","เขตสายไหม","Bangkok","กรุงเทพมหานคร","13.896390","100.673210"
"104203","คลองถนน","Klong Tanon","Saimai","เขตสายไหม","Bangkok","กรุงเทพมหานคร","13.897880","100.630257"
"104301","คันนายาว","Kannayao","Kannayao","เขตคันนายาว","Bangkok","กรุงเทพมหานคร","13.821140","100.678230"
"104401","สะพานสูง","Saphansung","Saphansung","เขตสะพานสูง","Bangkok","กรุงเทพมหานคร","13.762640","100.691727"
"104501","วังทองหลาง","Wang Thonglang","Wang Thonglang","เขตวังทองหลาง","Bangkok","กรุงเทพมหานคร","13.779200","100.609650"
"104601","สามวาตะวันตก","Sam Wa Tawan Tok","Khlong Sam Wa","เขตคลองสามวา","Bangkok","กรุงเทพมหานคร","13.891250","100.709221"
"104602","สามวาตะวันออก","Sam Wa Tawan Ok","Khlong Sam Wa","เขตคลองสามวา","Bangkok","กรุงเทพมหานคร","13.899230","100.761452"
"104603","บางชัน","Bang Chan","Khlong Sam Wa","เขตคลองสามวา","Bangkok","กรุงเทพมหานคร","13.845020","100.706642"
"104604","ทรายกองดิน","Sai Kong Din","Khlong Sam Wa","เขตคลองสามวา","Bangkok","กรุงเทพมหานคร","13.852440","100.746689"
"104605","ทรายกองดินใต้","Sai Kong  Din Tai","Khlong Sam Wa","เขตคลองสามวา","Bangkok","กรุงเทพมหานคร","13.851860","100.775146"
"104701","บางนา","Bang Na","Bang Na","เขตบางนา","Bangkok","กรุงเทพมหานคร","13.669000","100.619797"
"104801","ทวีวัฒนา","Thawi Wattana","Thawi Wattana","เขตทวีวัฒนา","Bangkok","กรุงเทพมหานคร","13.758400","100.356667"
"104802","ศาลาธรรมสพน์","Sala Thammasop","Thawi Wattana","เขตทวีวัฒนา","Bangkok","กรุงเทพมหานคร","13.785610","100.371170"
"104901","บางมด","Bangmot","Thungkru","เขตทุ่งครุ","Bangkok","กรุงเทพมหานคร","13.649490","100.493736"
"104902","ทุ่งครุ","Thungkru","Thungkru","เขตทุ่งครุ","Bangkok","กรุงเทพมหานคร","13.617480","100.498169"
"105001","บางบอน","Bang Bon","Bang Bon","เขตบางบอน","Bangkok","กรุงเทพมหานคร","13.656370","100.389153"
"110101","ปากน้ำ","Pak Nam","Amphoe Muang Samut Prakarn","อำเภอเมืองสมุทรปราการ","Samut Prakarn","สมุทรปราการ","13.596330","100.597679"
"110102","สำโรงเหนือ","Samrong Nua","Amphoe Muang Samut Prakarn","อำเภอเมืองสมุทรปราการ","Samut Prakarn","สมุทรปราการ","13.644690","100.620560"
"110103","บางเมือง","Bang Muang","Amphoe Muang Samut Prakarn","อำเภอเมืองสมุทรปราการ","Samut Prakarn","สมุทรปราการ","13.607800","100.624718"
"110104","ท้ายบ้าน","Tai Ban","Amphoe Muang Samut Prakarn","อำเภอเมืองสมุทรปราการ","Samut Prakarn","สมุทรปราการ","13.558470","100.598244"
"110108","บางปูใหม่","Bang Pu Mai","Amphoe Muang Samut Prakarn","อำเภอเมืองสมุทรปราการ","Samut Prakarn","สมุทรปราการ","13.523570","100.672997"
"110110","แพรกษา","Phraeksa","Amphoe Muang Samut Prakarn","อำเภอเมืองสมุทรปราการ","Samut Prakarn","สมุทรปราการ","13.569520","100.645721"
"110111","บางโปรง","Bang Prong","Amphoe Muang Samut Prakarn","อำเภอเมืองสมุทรปราการ","Samut Prakarn","สมุทรปราการ","13.622290","100.565712"
"110112","บางปู","Bang Pu","Amphoe Muang Samut Prakarn","อำเภอเมืองสมุทรปราการ","Samut Prakarn","สมุทรปราการ","13.512850","100.752098"
"110113","บางด้วน","Bang Duan","Amphoe Muang Samut Prakarn","อำเภอเมืองสมุทรปราการ","Samut Prakarn","สมุทรปราการ","13.622460","100.579529"
"110114","บางเมืองใหม่","Bang Muang Mai","Amphoe Muang Samut Prakarn","อำเภอเมืองสมุทรปราการ","Samut Prakarn","สมุทรปราการ","13.623210","100.603928"
"110115","เทพารักษ์","Thepharak","Amphoe Muang Samut Prakarn","อำเภอเมืองสมุทรปราการ","Samut Prakarn","สมุทรปราการ","13.623640","100.631531"
"110116","ท้ายบ้านใหม่","Tai Ban Mai","Amphoe Muang Samut Prakarn","อำเภอเมืองสมุทรปราการ","Samut Prakarn","สมุทรปราการ","13.574170","100.617569"
"110117","แพรกษาใหม่","Phreak Sa Mai","Amphoe Muang Samut Prakarn","อำเภอเมืองสมุทรปราการ","Samut Prakarn","สมุทรปราการ","13.571210","100.670151"
"110201","บางบ่อ","Bang Bo","Amphoe Bang Bo","อำเภอบางบ่อ","Samut Prakarn","สมุทรปราการ","13.604260","100.861519"
"110202","บ้านระกาศ","Ban Rakat","Amphoe Bang Bo","อำเภอบางบ่อ","Samut Prakarn","สมุทรปราการ","13.590880","100.886803"
"110203","บางพลีน้อย","Bang Phli Noi","Amphoe Bang Bo","อำเภอบางบ่อ","Samut Prakarn","สมุทรปราการ","13.605470","100.911324"
"110204","บางเพรียง","Bang Phriang","Amphoe Bang Bo","อำเภอบางบ่อ","Samut Prakarn","สมุทรปราการ","13.543340","100.814301"
"110205","คลองด่าน","Khlong Dan","Amphoe Bang Bo","อำเภอบางบ่อ","Samut Prakarn","สมุทรปราการ","13.510340","100.831818"
"110206","คลองสวน","Khlong Suan","Amphoe Bang Bo","อำเภอบางบ่อ","Samut Prakarn","สมุทรปราการ","13.658140","100.926910"
"110207","เปร็ง","Preng","Amphoe Bang Bo","อำเภอบางบ่อ","Samut Prakarn","สมุทรปราการ","13.667800","100.885368"
"110208","คลองนิยมยาตรา","Khlong Niyomyatra","Amphoe Bang Bo","อำเภอบางบ่อ","Samut Prakarn","สมุทรปราการ","13.624300","100.937149"
"110301","บางพลีใหญ่","Bangphli Yai","Amphoe Bang Plee","อำเภอบางพลี","Samut Prakarn","สมุทรปราการ","13.608380","100.698257"
"110302","บางแก้ว","Bang Kaeo","Amphoe Bang Plee","อำเภอบางพลี","Samut Prakarn","สมุทรปราการ","13.641960","100.665672"
"110303","บางปลา","Bang Pla","Amphoe Bang Plee","อำเภอบางพลี","Samut Prakarn","สมุทรปราการ","13.560470","100.737488"
"110304","บางโฉลง","Bang Chalong","Amphoe Bang Plee","อำเภอบางพลี","Samut Prakarn","สมุทรปราการ","13.623560","100.757942"
"110308","ราชาเทวะ","Rachathewa","Amphoe Bang Plee","อำเภอบางพลี","Samut Prakarn","สมุทรปราการ","13.677770","100.729622"
"110309","หนองปรือ","Nong Pru","Amphoe Bang Plee","อำเภอบางพลี","Samut Prakarn","สมุทรปราการ","13.682280","100.766777"
"110401","ตลาด","Talat","Amphoe Phra Pra Daeng","อำเภอพระประแดง","Samut Prakarn","สมุทรปราการ","13.657640","100.534767"
"110402","บางพึ่ง","Bang Phung","Amphoe Phra Pra Daeng","อำเภอพระประแดง","Samut Prakarn","สมุทรปราการ","13.657950","100.525009"
"110403","บางจาก","Bang Chak","Amphoe Phra Pra Daeng","อำเภอพระประแดง","Samut Prakarn","สมุทรปราการ","13.615950","100.532928"
"110404","บางครุ","Bang Kru","Amphoe Phra Pra Daeng","อำเภอพระประแดง","Samut Prakarn","สมุทรปราการ","13.635380","100.528450"
"110405","บางหญ้าแพรก","Bang Ya Praek","Amphoe Phra Pra Daeng","อำเภอพระประแดง","Samut Prakarn","สมุทรปราการ","13.646470","100.546898"
"110406","บางหัวเสือ","Bang Hua Sua","Amphoe Phra Pra Daeng","อำเภอพระประแดง","Samut Prakarn","สมุทรปราการ","13.630320","100.555153"
"110407","สำโรงใต้","Sam Rong Tai","Amphoe Phra Pra Daeng","อำเภอพระประแดง","Samut Prakarn","สมุทรปราการ","13.641300","100.576103"
"110408","บางยอ","Bang Yo","Amphoe Phra Pra Daeng","อำเภอพระประแดง","Samut Prakarn","สมุทรปราการ","13.677070","100.555603"
"110409","บางกะเจ้า","Bang Kachao","Amphoe Phra Pra Daeng","อำเภอพระประแดง","Samut Prakarn","สมุทรปราการ","13.696250","100.562782"
"110410","บางน้ำผึ้ง","Bang Nam Phang","Amphoe Phra Pra Daeng","อำเภอพระประแดง","Samut Prakarn","สมุทรปราการ","13.677940","100.577850"
"110411","บางกระสอบ","Bang Krasop","Amphoe Phra Pra Daeng","อำเภอพระประแดง","Samut Prakarn","สมุทรปราการ","13.667290","100.565872"
